"path","category","extension","size_bytes","line_count","likely_binary","secret_hits","destructive_hits","network_hits","auth_hits","legacy_hits","notes"
".agent/plans/modernization_roadmap.md","root-or-other",".md","4194","84","False","0","0","0","0","2",""
".agent/tasks/analysis.md","root-or-other",".md","434","10","False","0","0","0","0","0",""
".env.example","root-or-other",".example","1440","38","False","9","0","2","2","0",""
".gitignore","root-or-other",".gitignore","366","23","False","0","0","0","0","0",""
".version","root-or-other",".version","8","2","False","0","0","0","0","0",""
".vscode/settings.json","root-or-other",".json","217","11","False","0","0","0","0","0",""
"CHANGELOG.md","root-or-other",".md","29906","416","False","5","0","124","0","6",""
"LICENSE.md","root-or-other",".md","35905","677","False","1","0","4","0","0",""
"README.md","root-or-other",".md","2451","58","False","2","0","3","0","0",""
"SECURITY.md","root-or-other",".md","2573","54","False","0","0","1","0","0",""
"backend/aetherflow-api.exe","backend",".exe","41652736","","True","0","0","0","0","0",""
"backend/api/ai.go","backend",".go","4417","153","False","14","0","0","0","0",""
"backend/api/auth.go","backend",".go","13424","456","False","81","0","4","48","0","default-jwt-secret-fallback;session-cookie-not-secure"
"backend/api/backup.go","backend",".go","3358","132","False","0","0","0","0","0",""
"backend/api/fileshare.go","backend",".go","2182","93","False","0","0","0","0","0",""
"backend/api/hardware_handlers.go","backend",".go","303","15","False","0","0","0","0","0",""
"backend/api/marketplace.go","backend",".go","3536","136","False","0","0","0","0","0",""
"backend/api/routes.go","backend",".go","3972","139","False","0","0","0","1","1",""
"backend/api/settings.go","backend",".go","2774","94","False","12","0","0","0","0",""
"backend/api/updater.go","backend",".go","3149","111","False","0","1","2","0","0",""
"backend/api/users.go","backend",".go","3990","144","False","0","0","0","0","2",""
"backend/api/websockets.go","backend",".go","3373","167","False","0","0","0","1","0","websocket-all-origins"
"backend/db/db.go","backend",".go","3177","108","False","4","0","0","0","0",""
"backend/go.mod","backend",".mod","3681","82","False","2","0","0","2","1",""
"backend/go.sum","backend",".sum","24213","259","False","5","0","0","7","3",""
"backend/main.go","backend",".go","3162","129","False","0","0","10","1","0",""
"backend/models/hardware.go","backend",".go","1289","46","False","0","0","0","0","0",""
"backend/models/models.go","backend",".go","1377","37","False","0","0","0","0","1",""
"backend/models/package.go","backend",".go","434","15","False","0","0","0","0","0",""
"backend/models/user.go","backend",".go","282","12","False","2","0","0","0","0",""
"backend/services/hardware.go","backend",".go","10493","415","False","0","0","0","0","1",""
"backend/services/installer.go","backend",".go","3955","138","False","0","2","0","0","0",""
"backend/services/package_service.go","backend",".go","2042","85","False","0","1","0","0","2",""
"backend/services/process.go","backend",".go","791","37","False","0","0","0","0","0",""
"backend/services/service_manager.go","backend",".go","2950","110","False","0","0","0","0","0",""
"backend/services/systemctl.go","backend",".go","6233","233","False","0","8","0","0","0",""
"dashboard/config/packages.json","root-or-other",".json","11807","335","False","1","0","0","0","0",""
"docs/API.md","docs",".md","1630","38","False","0","0","0","0","0",""
"docs/BOOTSTRAP5_MIGRATION.md","docs",".md","2378","40","False","0","0","0","0","2",""
"docs/DEPENDENCIES.md","docs",".md","1859","31","False","0","0","0","0","1",""
"docs/SETUP.md","docs",".md","891","34","False","0","0","0","0","0",""
"fix_remaining_scripts.py","root-or-other",".py","7863","207","False","0","0","0","0","8",""
"fix_source_order.py","root-or-other",".py","1142","35","False","0","0","0","0","0",""
"frontend/.gitignore","frontend",".gitignore","521","42","False","0","0","1","0","0",""
"frontend/README.md","frontend",".md","1486","37","False","0","0","11","0","0",""
"frontend/eslint.config.mjs","frontend",".mjs","483","19","False","0","0","0","0","0",""
"frontend/next.config.ts","frontend",".ts","292","15","False","0","0","1","0","0",""
"frontend/package.json","frontend",".json","611","29","False","0","0","0","0","0",""
"frontend/postcss.config.mjs","frontend",".mjs","101","8","False","0","0","0","0","0",""
"frontend/public/file.svg","frontend",".svg","391","","True","0","0","0","0","0",""
"frontend/public/globe.svg","frontend",".svg","1035","","True","0","0","0","0","0",""
"frontend/public/img/Tautulli.png","frontend",".png","13403","","True","0","0","0","0","0",""
"frontend/public/img/btsync.png","frontend",".png","14457","","True","0","0","0","0","0",""
"frontend/public/img/couchpotato.png","frontend",".png","10801","","True","0","0","0","0","0",""
"frontend/public/img/csf.png","frontend",".png","70165","","True","0","0","0","0","0",""
"frontend/public/img/deluge.png","frontend",".png","14951","","True","0","0","0","0","0",""
"frontend/public/img/emby.png","frontend",".png","17642","","True","0","0","0","0","0",""
"frontend/public/img/headphones.png","frontend",".png","11540","","True","0","0","0","0","0",""
"frontend/public/img/jackett.png","frontend",".png","22265","","True","0","0","0","0","0",""
"frontend/public/img/lidarr.png","frontend",".png","5717","","True","0","0","0","0","0",""
"frontend/public/img/medusa.png","frontend",".png","5964","","True","0","0","0","0","0",""
"frontend/public/img/nextcloud.png","frontend",".png","21677","","True","0","0","0","0","0",""
"frontend/public/img/nzbget.png","frontend",".png","74496","","True","0","0","0","0","0",""
"frontend/public/img/nzbhydra.png","frontend",".png","5941","","True","0","0","0","0","0",""
"frontend/public/img/plex.png","frontend",".png","27080","","True","0","0","0","0","0",""
"frontend/public/img/plexpy.png","frontend",".png","9991","","True","0","0","0","0","0",""
"frontend/public/img/plexrequests-net.png","frontend",".png","5691","","True","0","0","0","0","0",""
"frontend/public/img/pyload.png","frontend",".png","22760","","True","0","0","0","0","0",""
"frontend/public/img/qbittorrent.png","frontend",".png","9711","","True","0","0","0","0","0",""
"frontend/public/img/quickbox.png","frontend",".png","1707","","True","0","0","0","0","0",""
"frontend/public/img/radarr.png","frontend",".png","2169","","True","0","0","0","0","0",""
"frontend/public/img/rapidleech.png","frontend",".png","20548","","True","0","0","0","0","0",""
"frontend/public/img/rtorrent.png","frontend",".png","20712","","True","0","0","0","0","0",""
"frontend/public/img/sabnzbd.png","frontend",".png","24498","","True","0","0","0","0","0",""
"frontend/public/img/sickgear.png","frontend",".png","84865","","True","0","0","0","0","0",""
"frontend/public/img/sickrage.png","frontend",".png","34872","","True","0","0","0","0","0",""
"frontend/public/img/sonarr.png","frontend",".png","16405","","True","0","0","0","0","0",""
"frontend/public/img/subsonic.png","frontend",".png","26797","","True","0","0","0","0","0",""
"frontend/public/img/syncthing.png","frontend",".png","22080","","True","0","0","0","0","0",""
"frontend/public/img/transmission.png","frontend",".png","15097","","True","0","0","0","0","0",""
"frontend/public/img/znc.png","frontend",".png","33758","","True","0","0","0","0","0",""
"frontend/public/next.svg","frontend",".svg","1375","","True","0","0","0","0","0",""
"frontend/public/vercel.svg","frontend",".svg","128","","True","0","0","0","0","0",""
"frontend/public/window.svg","frontend",".svg","385","","True","0","0","0","0","0",""
"frontend/src/app/favicon.ico","frontend",".ico","25931","","True","0","0","0","0","0",""
"frontend/src/app/globals.css","frontend",".css","566","24","False","0","0","0","0","0",""
"frontend/src/app/layout.tsx","frontend",".tsx","1644","46","False","0","0","0","0","0",""
"frontend/src/app/login/page.tsx","frontend",".tsx","7625","137","False","12","0","0","0","0",""
"frontend/src/app/page.tsx","frontend",".tsx","5573","132","False","0","0","0","0","0",""
"frontend/src/components/charts/Sparkline.tsx","frontend",".tsx","5707","138","False","0","0","0","0","0",""
"frontend/src/components/layout/AuthGuard.tsx","frontend",".tsx","1183","32","False","0","0","0","0","0",""
"frontend/src/components/layout/Header.tsx","frontend",".tsx","2516","51","False","0","0","0","0","2",""
"frontend/src/components/layout/OnboardingWizard.tsx","frontend",".tsx","10166","174","False","0","0","0","0","0",""
"frontend/src/components/layout/Sidebar.tsx","frontend",".tsx","8547","149","False","0","0","0","0","0",""
"frontend/src/components/layout/SkeletonBox.tsx","frontend",".tsx","1585","41","False","0","0","0","0","0",""
"frontend/src/components/layout/ToastContainer.tsx","frontend",".tsx","2789","78","False","0","0","0","0","0",""
"frontend/src/components/tabs/AiChatTab.tsx","frontend",".tsx","13454","227","False","0","0","0","0","0",""
"frontend/src/components/tabs/BackupTab.tsx","frontend",".tsx","11316","199","False","0","0","0","0","0",""
"frontend/src/components/tabs/FileshareTab.tsx","frontend",".tsx","8388","151","False","0","0","0","0","0",""
"frontend/src/components/tabs/MarketplaceTab.tsx","frontend",".tsx","17372","332","False","0","0","0","0","0",""
"frontend/src/components/tabs/OverviewTab.tsx","frontend",".tsx","5453","126","False","0","0","0","0","0",""
"frontend/src/components/tabs/ProfileTab.tsx","frontend",".tsx","9621","177","False","5","0","1","0","0",""
"frontend/src/components/tabs/SecurityTab.tsx","frontend",".tsx","4032","61","False","4","0","0","0","0",""
